"","id","satisfaction","education","age","gender","car","phone","fax","pc","pincome","savings1","savings2","creditcard1","creditcard2","atmcard1","atmcard2","cd1","cd2","specialchecking1","specialchecking2","auto.bill.payment1","auto.bill.payment2","personal.loans1","personal.loans2","mortgage1","mortgage2","installment.loan1","installment.loan2","investment.fund1","investment.fund2","commodities.fund1","commodities.fund2","annuities.fund1","annuities.fund2","car.insurance1","car.insurance2","home.insurance1","home.insurance2","life.insurance1","life.insurance2"
"481",1898,4,5,55,"Male",1,1,0,0, 850,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0
"772",3058,3,4,35,"Male",0,0,0,0,4000,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"266",1118,2,5,35,"Male",1,1,0,0, 850,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"673",2645,4,3,45,"Male",0,1,0,1, 850,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"15",  67,3,5,45,"Female",1,1,0,0, 550,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25", 129,2,5,55,"Male",1,1,0,1,5000,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"929",3729,1,5,35,"Female",1,1,0,1, 400,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
"52", 224,4,5,55,"Male",1,1,1,1,5000,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"581",2295,4,5,65,"Male",1,1,0,1,5000,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"982",3924,1,5,25,"Male",1,1,1,0, 850,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"1198",4811,4,5,35,"Male",1,1,0,0, 400,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"1183",4758,2,4,45,"Male",0,0,0,0, 550,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"715",2797,4,2,55,"Male",1,1,0,1,2500,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"48", 216,4,4,35,"Male",1,1,0,0, 400,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"688",2687,4,3,65,"Male",0,1,0,0,2500,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"836",3324,3,5,65,"Male",1,1,0,0, 400,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"1242",4997,4,2,35,"Female",0,0,0,0,4000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"322",1327,3,5,45,"Female",1,1,0,1,2500,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"85", 359,3,5,45,"Female",1,1,0,1, 400,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"703",2746,4,4,65,"Male",1,1,1,1,5000,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621",2458,3,5,55,"Male",1,1,0,0,1250,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"1288",5200,4,5,45,"Female",1,1,0,1,2500,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"441",1790,3,5,65,"Female",1,1,0,0, 550,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"602",2395,1,5,35,"Male",1,0,0,1, 400,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
"756",2999,3,4,45,"Female",1,1,0,0,2500,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"867",3444,1,5,25,"Male",0,0,0,0, 400,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",2500,4,3,55,"Male",1,1,0,0, 400,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"1029",4103,3,5,45,"Male",1,1,0,1, 400,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"265",1109,4,4,45,"Male",1,1,0,0, 400,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"1353",5446,4,2,65,"Male",1,1,0,0,1250,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"465",1850,4,5,55,"Male",1,1,0,0, 850,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"704",2752,3,5,35,"Female",1,0,0,0,1750,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1282",5180,4,4,25,"Male",1,1,0,0,1750,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"498",1961,4,5,55,"Male",1,1,0,1, 550,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"4",  11,1,5,55,"Male",1,1,1,1,5000,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
"425",1730,4,2,55,"Male",1,1,0,0,1750,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0
"1128",4508,3,5,35,"Female",1,1,0,0,2500,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"228", 975,4,5,45,"Male",1,1,0,1,1250,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"534",2078,3,4,55,"Male",1,1,0,0, 850,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0
"870",3455,4,5,45,"Male",1,1,1,1,5000,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"39", 183,4,5,45,"Male",1,1,0,0,1250,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0
"1047",4171,4,2,65,"Female",1,1,0,0,1750,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"323",1328,3,2,65,"Male",1,1,0,0,2500,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"181", 746,1,5,45,"Male",1,1,1,1,1250,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"978",3913,3,5,25,"Female",1,1,0,0,1750,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1263",5092,4,3,65,"Male",1,1,0,0,1750,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"159", 674,4,5,55,"Female",1,1,0,1, 400,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
